Supecomps,SUPERC
Armada Deep,ARDP
Colorize,ENCOLOR
Chill Your Mind,CYM
Silk Music,SILKM
Sirup Music,SIR
Anjunadeep/Anjunabeats,ANJ
EDM Comps,EDMC
DOORN RECORDS,DOORN
Various Artists,VA
Enhanced Progressive,ENPROG
Armada Electronic Elements,ARDI
Armada Music,ARMAS
Lost & Found,LF
Armada Electronic Elements,AREE
Freegrant Music,FG
Black Hole Recordings,BH
Armind,ARMD
Gemstone Records,GEMS
Spinnin Deep,SPDEEP
Ultra,UL
Spinnin Records,SP
Progressive House Worldwide,PHW
Chills,ETC
Synth Collective,SYC
Armada Chill,ARCHILL
AVA Deep,AVAD
Selected,SELECTED
Soave,LAB
Zerothree,ZT
Be Yourself Music,BYMD
Revealed Radar,REVRD
